alias,url,genre,event_name,event_date,location,deadline,status,last_updated,comment
デザインフェスタ,https://designfesta.com/,アート・オールジャンル,デザインフェスタvol.62,2025-11-15/2025-11-16,東京ビッグサイト 西&南館,不明,開催予定,2025-11-06T06:53:04.040619+09:00,
COMIC CITY 東京,https://www.akaboo.jp/event/index.html,漫画(主に二次創作)・オールジャンル,COMIC CITY 東京 153,2026-11-29,東京ビッグサイト,2026-10-16,開催予定,2025-11-13T05:41:17.276189+09:00,
COMIC CITY SPARK,https://www.akaboo.jp/event/index.html,漫画(主に二次創作)・オールジャンル,COMIC CITY SPARK 21,2026-10-11,東京ビッグサイト,2026-08-19,開催予定,2025-11-05T07:37:41.457299+09:00,
COMIC CITY VEGA,https://www.akaboo.jp/event/index.html,漫画(主に二次創作)・オールジャンル,COMIC CITY VEGA 2026,2026-08-30,東京ビッグサイト,2026-07-17,開催予定,2025-11-06T06:53:04.040619+09:00,
GOOD COMIC CITY 大阪,https://www.akaboo.jp/event/index.html,漫画(主に二次創作)・オールジャンル,GOOD COMIC CITY 32 大阪,2026-08-23,インテックス大阪,2026-07-08,開催予定,2025-11-05T07:37:41.457538+09:00,
COMIC CITY 福岡,https://www.akaboo.jp/event/index.html,漫画(主に二次創作)・オールジャンル,COMIC CITY 福岡 64,2026-06-21,マリンメッセ福岡,2026-05-08,開催予定,2025-11-05T07:37:41.457620+09:00,
SUPER COMIC CITY,https://www.akaboo.jp/event/index.html,漫画(主に二次創作)・オールジャンル,SUPER COMIC CITY 33 -day3-,2026-05-31,インテックス大阪,2026-04-17,開催予定,2025-11-07T05:39:59.274980+09:00,
HARU COMIC CITY,https://www.akaboo.jp/event/index.html,漫画(主に二次創作)・オールジャンル,HARU COMIC CITY 35,2026-03-20,東京ビッグサイト,2026-01-28,開催予定,2025-11-05T07:37:41.457979+09:00,
FANTASIA,https://fantasia.network/index.html,オールジャンル,FANTASIA,2025-11-23,科学技術館(東京・千代田区),2025-08-31,サークル受付期間,2025-11-16T05:33:51.068300+09:00,
コミティア,https://www.comitia.co.jp/,漫画(一次創作),COMITIA154,2025-11-24,東京ビッグサイト 南1・2・3・4+西4ホール,終了,開催予定,2025-11-15T05:39:57.765378+09:00,
京都ハンドメイドマルシェ,https://handmade-marche.jp/list/,ハンドメイド(オールジャンル),京都ハンドメイドマルシェ,2025-12-06/2025-12-07,みやこめっせ,2025-11-24,キャンセル待ち,2025-11-14T05:40:38.659216+09:00,
名古屋ハンドメイドマルシェ,https://handmade-marche.jp/list/,ハンドメイド(オールジャンル),名古屋ハンドメイドマルシェ,2026-01-31/2026-02-01,【愛知】吹上ホール,2026-01-12,キャンセル待ち,2025-11-15T05:39:57.765378+09:00,
東京ハンドメイドマルシェ,https://handmade-marche.jp/list/,ハンドメイド(オールジャンル),東京ハンドメイドマルシェ 2026春,2026-04-18/2026-04-19,【東京】東京ドームシティ プリズムホール,2026-01-25,応募受付中,2025-11-16T05:33:51.068300+09:00,
ヨコハマハンドメイドマルシェ,https://handmade-marche.jp/list/,ハンドメイド(オールジャンル),ヨコハマハンドメイドマルシェ,2026-06-20/2026-06-21,【神奈川】パシフィコ横浜,2026-04-12,一次募集中,2025-11-16T05:33:51.068300+09:00,
ワンダー・トイ・コンベンション,https://kaiyodo.co.jp/WonderToyConvention/,ソフビ,ワンダー・トイ・コンベンション vol.5,2025-12-07,海洋堂ホビーランド,不明,開催予定,2025-11-05T07:15:03.341926+09:00,
クリエイターズマーケット,https://www.creatorsmarket.com/event/,ハンドメイド(オールジャンル),クリエーターズマーケット vol.53,2025-12-13/2025-12-14,ポートメッセなごや2・3号館,2025-08-28,開催予定,2025-11-06T06:33:34.715116+09:00,
大阪アート手作りバザール,https://www.tv-osaka.co.jp/event/makingbazaar/,ハンドメイド(オールジャンル),OSAKAアート＆てづくりバザールVOL.50,2025-12-20/2025-12-21,大阪,不明,開催予定,2025-11-15T05:39:57.765378+09:00,
コミックマーケット,https://www.comiket.co.jp/,漫画・オールジャンル（主に二次創作）,コミックマーケット１０７,2025-12-30/2025-12-31,東京ビッグサイト,不明,開催予定,2025-11-05T07:39:05.102637+09:00,
